Letter,Category,Probability
A,train,2.903831214655546e-14
A,train,3.1268698463017778e-25
A,train,2.1662322977067383e-11
A,train,6.186903853938906e-20
A,train,2.239944452142595e-09
A,train,8.930806094653576e-11
A,train,5.889789504028773e-22
A,train,1.0381557944776442e-21
A,train,7.146670093251973e-18
A,train,2.2297532743797976e-12
A,train,1.1527293969938667e-21
A,train,4.975145850849572e-10
A,train,2.7087160741126864e-16
A,train,4.166347388617764e-12
A,train,1.5545333206210053e-19
A,train,7.012739651761682e-20
A,train,1.8553405339849505e-12
A,train,9.60709664651078e-20
A,train,6.18437263279688e-22
A,train,1.1797053066950162e-14
A,train,2.5691806850512574e-25
A,train,1.4661620478587544e-23
A,train,7.383955507580739e-15
A,train,5.423209182216507e-25
A,train,6.839676828379604e-12
A,train,1.40760611327265e-26
A,train,1.2884358450517051e-16
A,train,2.225097742438397e-15
A,train,5.5767838263998115e-12
A,train,6.883850824406112e-19
A,train,1.0082319568528557e-14
A,train,1.2799518042333285e-15
A,train,5.921452217449996e-11
A,train,1.2833254424415852e-11
A,train,2.8255724748180936e-16
A,train,1.9177864864686726e-17
A,train,1.360823400146239e-23
A,train,1.5582708429542121e-15
A,train,6.5069732136875235e-24
A,train,1.2571773595482227e-06
A,train,1.1836697105668169e-18
A,train,1.9937351818750143e-23
A,train,1.5372034990471073e-17
A,train,2.625589858436357e-22
A,train,5.589249705498005e-21
A,train,4.8494669109382105e-15
A,train,7.437713591778756e-18
A,train,3.018705627016658e-22
A,train,2.0617795665200944e-12
A,train,2.5765761254812245e-21
A,train,4.645508520202458e-21
A,train,1.0922383975725796e-17
A,train,3.2152906503718146e-14
A,train,9.714531536553415e-18
A,train,3.0049675121158607e-20
A,train,4.4375707129078526e-14
A,train,1.7348488713877913e-19
A,train,1.0413550664215614e-24
A,train,3.2631766416052997e-15
A,train,8.058854267092788e-18
A,train,9.412153440586759e-20
A,train,7.327054693405068e-22
A,train,2.9794103382357884e-13
A,train,7.396095861407145e-14
A,train,1.372480836358441e-15
A,train,1.0573204343205363e-20
A,train,2.499867442518827e-21
A,train,1.9487997083385805e-22
A,train,2.0689754155447873e-17
A,train,1.035040164687473e-09
A,train,2.1855368625978144e-09
A,train,2.2035213145246355e-14
A,train,6.294179408316048e-17
A,train,7.115148289580831e-24
A,train,1.2784410863275752e-08
A,train,7.0196604605443635e-12
A,train,8.398115312597417e-20
A,train,1.3842773281813603e-11
A,train,7.293679549214005e-13
A,train,5.860762578160261e-23
A,train,7.503536928462364e-20
A,train,5.297287608563295e-10
A,train,6.880571466867646e-18
A,train,2.352104652861901e-26
A,train,4.6619195862625945e-14
A,train,5.457837848027178e-21
A,train,1.1188201549299035e-14
A,train,4.876035556225511e-13
A,train,8.328878142727092e-10
A,train,8.596380004110007e-21
A,train,6.534412334141537e-12
A,train,1.0785156450475005e-20
A,train,1.8572164917074474e-09
A,train,4.446383982197937e-17
A,train,1.5791520251081734e-19
A,train,2.079413247493833e-12
A,train,8.958146960333934e-20
A,train,2.1487450490784155e-13
A,train,9.56024805863129e-16
A,train,1.2480635983725762e-20
A,train,1.1232404061053129e-24
A,train,1.0566453311280921e-12
A,train,3.2885806224912836e-23
A,train,8.058464689056134e-23
A,train,1.117023294703653e-24
A,train,3.099681307840316e-20
A,train,1.4634260058106474e-13
A,train,2.2102497577988414e-16
A,train,1.7837035283830627e-18
A,train,1.2682261463226041e-08
A,train,4.03169736382477e-16
A,train,5.870799626285122e-19
A,train,1.0761016480049013e-23
A,train,6.715647782746517e-18
A,train,3.747309524520995e-21
A,train,9.848018977589245e-21
A,train,1.440474850511464e-08
A,train,1.2560618830719835e-23
A,train,1.2672432547766732e-10
A,train,3.048453958882924e-13
A,train,9.19980358560224e-09
A,train,2.6636203046986634e-16
A,train,9.495005956556925e-24
A,train,1.3283983454879605e-22
A,train,3.671109945699347e-17
A,train,8.147481646867445e-24
A,train,6.611697853092182e-21
A,train,1.062545446675524e-18
A,train,2.1214872927254673e-22
A,train,7.548359752055687e-18
A,train,2.2832931410795036e-15
A,train,5.08610776628134e-18
A,train,4.612585412211277e-17
A,train,3.0096926198063565e-21
A,train,4.176219716574002e-20
A,train,2.929894088585066e-23
A,train,1.712580016414885e-17
A,train,2.5523591573595183e-10
A,train,2.994196247007013e-15
A,train,2.2453788598076935e-26
A,train,1.358875637442892e-19
A,train,3.5308581145671036e-12
A,train,3.635152735343912e-19
A,train,1.9417110877061744e-13
A,train,9.09593108536693e-25
A,train,1.0216328092353156e-19
A,train,5.1059646094531175e-11
A,train,3.966532581686721e-21
A,train,2.7244062357389413e-23
A,train,1.672360506608302e-23
A,train,1.369074593449912e-18
A,train,3.2330455215830955e-21
A,train,8.589623416767677e-22
A,train,8.741603685302014e-17
A,train,8.0223943807467e-12
A,train,3.052471470033069e-11
A,train,7.269552182442851e-10
A,train,1.171740212746773e-21
A,train,4.490953538597333e-20
A,train,8.223321112596493e-14
A,train,2.566237222723089e-10
A,train,3.0913463645695934e-19
A,train,2.652977119873972e-20
A,train,4.351357969736213e-18
A,train,1.7629618468198438e-12
A,train,5.989401336004008e-11
A,train,3.9266078452962483e-13
A,train,9.088084595987311e-08
A,train,1.9207297427895065e-13
A,train,1.53259982482723e-08
A,train,3.0365985281832764e-09
A,train,8.178997254895215e-16
A,train,3.1160687768260603e-18
A,train,4.782639911556434e-19
A,train,3.5326206126465385e-21
A,train,5.627156125446332e-22
A,train,7.441954691378427e-11
A,train,1.0321377780231344e-10
A,train,2.6963742085011502e-17
A,train,5.963735364919454e-13
A,train,1.2916226224680632e-19
A,train,1.2911279684280075e-11
A,train,6.2149738074045516e-15
A,train,2.152655149225426e-20
A,train,5.756121135291892e-10
A,train,5.813458742176536e-11
A,train,2.579890704434797e-21
A,train,2.2166831900854306e-13
A,train,9.635777419025882e-13
A,train,2.636155790779535e-16
A,train,5.509367813918599e-18
A,train,5.555467096952488e-23
A,train,2.126140844042319e-19
A,train,3.5731453351672826e-09
A,train,3.439466678921631e-24
A,train,9.985695809729828e-14
A,train,4.6282885857173994e-10
A,train,1.803287935642217e-10
A,train,1.437008715146626e-12
A,train,3.269786541791357e-19
A,train,1.1573174423108908e-19
A,train,9.810587868424419e-23
A,train,1.78930449755763e-19
A,train,1.1227030840704577e-20
A,train,1.838155458089539e-19
A,train,3.5637186535097953e-09
A,train,4.109210513498314e-15
A,train,1.5342077481364728e-20
A,train,8.060221766281987e-22
A,train,3.782891832898247e-14
A,train,6.932650525696971e-13
A,train,3.613919009019676e-17
A,train,8.216969717977918e-07
A,train,4.371851485734488e-20
A,train,4.720458065434318e-24
A,train,6.111845513197267e-14
A,train,1.6827544471243773e-14
A,train,7.494460607659903e-11
A,train,1.3237716432097901e-19
A,train,2.44956575097717e-14
A,train,1.9855821088883563e-13
A,train,4.178073594605991e-25
A,train,2.3183227045929617e-21
A,train,3.008443982821518e-08
A,train,5.3072431551633637e-20
A,train,3.251861796411274e-19
A,train,6.982891517904302e-21
A,train,2.405580683955481e-17
A,train,5.102706799633442e-17
A,train,4.669702833678489e-23
A,train,1.6696981796314458e-13
A,train,3.285605026837938e-18
A,train,1.0260911798296911e-23
A,train,1.0505317867243843e-24
A,train,1.5990224255801877e-08
A,train,5.390326662228353e-20
A,train,2.6007724266343007e-19
A,train,4.465305817692104e-23
A,train,1.1506943647240854e-15
A,train,5.428524764316801e-19
A,train,5.761534650836002e-18
A,train,1.6510824651927436e-10
A,train,7.020021541848109e-08
A,train,5.825749632053581e-14
A,train,6.426760786081925e-21
A,train,9.66051346618015e-16
A,train,2.2467525103118675e-16
A,train,2.6603051359042063e-12
A,train,1.6798969110010267e-18
A,train,4.804557793280928e-11
A,train,7.510659607849234e-22
A,train,4.9607268568072435e-20
A,train,3.436976718360391e-23
A,train,2.6557026476805916e-19
A,train,1.0781390225034215e-09
A,train,2.39601679069387e-19
A,train,8.705968030948782e-23
A,train,7.380477139485879e-19
A,train,7.671823381650081e-14
A,train,2.4106331031369548e-17
A,train,1.1032349921565212e-24
A,train,2.243077578460866e-17
A,train,2.534508128203111e-24
A,train,2.7592230456643685e-24
A,train,1.0437831873875798e-20
A,train,1.695247898445435e-21
A,train,1.0863449695364125e-08
A,train,2.4113516583914674e-16
A,train,1.192313752103899e-15
A,train,8.196079448810623e-13
A,train,1.3621785334396645e-16
A,train,3.717742170013963e-18
A,train,4.624714777801131e-10
A,train,5.368709010806844e-23
A,train,3.3499262330136146e-23
A,train,4.543085057478089e-24
A,train,6.990686647728104e-25
A,train,1.4268438344296956e-15
A,train,6.234930490691406e-27
A,train,1.4087841390821683e-16
A,train,7.587162629154427e-17
A,train,6.782859829357335e-10
A,train,3.5388327823682175e-09
A,train,8.797670648965348e-17
A,train,2.258645646984706e-16
A,train,6.689636844470215e-09
A,train,4.906648004565639e-12
A,train,5.8299706513396336e-15
A,train,7.478835570537426e-23
A,train,3.696189881940981e-11
A,train,6.541611002885972e-11
A,train,5.587173231113402e-24
A,train,3.8352461939790417e-13
A,train,4.2270025912664877e-13
A,train,1.0324511933843318e-24
A,train,6.7789241085217285e-15
A,train,4.303683001541413e-18
A,train,7.143528538833679e-20
A,train,5.404523366109217e-16
A,train,2.8663880158319444e-08
A,train,2.0595759742707842e-22
A,train,3.992941977060127e-09
A,train,4.754170487447376e-20
A,train,5.075036108878683e-20
A,train,3.219550725817669e-17
A,train,4.0562560253392245e-16
A,train,3.2246834849161373e-20
A,train,7.674070445773395e-08
A,train,4.0257125239093596e-19
A,train,
A,train,1.0228630821194362e-23
A,train,1.9995923163240993e-23
A,train,5.834471921733325e-20
A,train,3.4575783577295502e-18
A,train,9.493865249510236e-09
A,train,1.8136805537819844e-18
A,train,1.085995595344726e-14
A,train,9.322942771353739e-24
A,train,1.3429066313742203e-18
A,train,1.324029232422418e-19
A,train,8.192994251042139e-22
A,train,1.8830353451510093e-15
A,train,7.581083017088284e-18
A,train,5.625155861232057e-16
A,train,1.98424401909314e-11
A,train,3.804692806623258e-22
A,train,1.2074603394061597e-21
A,train,3.278518363735043e-18
A,train,8.2657696457632e-20
A,train,3.187271495215299e-21
A,train,7.040583936170075e-14
A,train,2.0995276003031325e-19
A,train,8.931717587756793e-09
A,train,2.122413000904544e-08
A,train,4.8922113574225055e-19
A,train,1.0432683523973747e-15
A,train,1.045262541751994e-18
A,train,1.4599978210926462e-19
A,train,4.1556704908837783e-13
A,train,1.0925849755055849e-23
A,train,8.862715500125088e-17
A,train,1.018695361633169e-18
A,train,3.390067650144517e-19
A,train,4.17673166382499e-19
A,train,7.009370183235235e-20
A,train,2.493716902300098e-19
A,train,2.4363253660500764e-16
A,train,2.40053035864309e-24
A,train,6.688948848265749e-20
A,train,2.8557391561878615e-17
A,train,3.8515829414720315e-11
A,train,2.2152237523173114e-14
A,train,3.815329870178131e-23
A,train,4.508721636648913e-19
A,train,2.413472789622925e-20
A,train,1.6793014326116004e-14
A,train,6.067284490075788e-20
A,train,2.8641531844391917e-15
A,train,8.64642444590362e-16
A,train,2.155452185503531e-17
A,train,5.925918089566551e-10
A,train,9.533304007325327e-11
A,train,1.8900613323329255e-20
A,train,2.540315513499536e-09
A,train,1.7274187215355337e-20
A,train,3.634208327728924e-20
A,train,3.6148315243900164e-12
A,train,1.2522784119894069e-14
A,train,5.205104680605643e-10
A,train,2.0995740411013097e-13
A,train,3.7642993417435973e-22
A,train,6.382159476467711e-14
A,train,3.3165115534368244e-15
A,train,2.697417095360796e-22
A,train,2.032344344898851e-12
A,train,5.193253528493029e-14
A,train,5.361691935282722e-22
A,train,9.670033176170953e-22
A,train,2.5751371585333356e-17
A,train,3.517264456938889e-21
A,train,9.32382518192318e-18
A,train,2.3724219810894454e-10
A,train,2.3179989247754582e-18
A,train,2.052724790666693e-18
A,train,5.133289016838287e-14
A,train,6.026535065255245e-13
A,train,2.1700458948227877e-14
A,train,2.956218439555903e-17
A,train,3.939552932882987e-22
A,train,1.6944256761575183e-11
A,train,2.9906596643591854e-10
A,train,7.686691356629083e-21
A,train,1.0435272935317006e-22
A,train,3.0859186317400145e-09
A,train,1.0015270981522748e-15
A,train,2.7319771334077814e-08
A,train,1.8723125433134803e-15
A,train,3.334938905751213e-19
A,train,6.644602480705256e-18
A,train,6.105683441956722e-21
A,train,2.78433520517661e-16
A,train,3.148574803657489e-11
A,train,1.0020992027336961e-17
A,train,1.1693270863307598e-13
A,train,1.2498881574174447e-07
A,train,1.768673546793049e-20
A,train,1.3161582934628768e-08
A,train,1.8731547322910674e-16
A,train,2.705992652174416e-10
A,train,2.1470657999215055e-24
A,train,9.266696573302665e-19
A,train,1.674353574353509e-14
A,train,8.81190336673912e-19
A,train,5.661041080351481e-12
A,train,9.485461190377603e-14
A,train,2.6315232284033227e-24
A,train,1.121023647797074e-23
A,train,9.705595116655092e-20
A,train,6.265487434431449e-11
A,train,1.0472339084799387e-07
A,train,1.0875805145360573e-08
A,train,7.779166850616082e-14
A,train,4.5399807231758654e-14
A,train,1.1360602400218439e-13
A,train,9.020361497677487e-14
A,train,6.30263981162124e-16
A,train,5.028883308107345e-19
A,train,5.690716203077734e-19
A,train,3.3075071570465298e-09
A,train,2.793900324733479e-16
A,train,9.562978151699409e-17
A,train,1.4738501284688573e-23
A,train,1.2994578612778517e-16
A,train,1.2441597390606261e-22
A,train,9.278111730379382e-21
A,train,1.6959529002809873e-21
A,train,1.3805365184360596e-10
A,train,1.1703860982930813e-22
A,train,9.262339560984755e-21
A,train,1.1217928991146092e-17
A,train,2.9138809143347544e-09
A,train,3.9913557891733606e-14
A,train,3.249262854897227e-16
A,train,1.386065529163682e-23
A,train,3.0760068170976804e-19
A,train,3.342692025398719e-07
A,train,7.621060552695396e-20
A,train,1.41504143367979e-18
A,train,1.4068177178749863e-10
A,train,6.211677569972603e-23
A,train,3.755347161710221e-12
A,train,1.4913730200258848e-21
A,train,5.635131087630848e-20
A,train,4.2690141947833933e-20
A,train,2.849239646563272e-19
A,train,1.0940278208481033e-16
A,train,2.223318991757329e-20
A,train,5.3992468419671265e-24
A,train,4.984454661925298e-21
A,train,8.808844866424204e-19
A,train,5.858432072791686e-10
A,train,6.61165586932316e-26
A,train,2.024037247754275e-21
A,train,1.3927461614549053e-12
A,train,2.834398992398305e-19
A,train,7.050979591860518e-12
A,train,4.355107854209228e-12
A,train,2.937757588081067e-18
A,train,2.6218652043407018e-23
A,train,2.2319395220904426e-09
A,train,9.142629805021497e-22
A,train,1.0471216689527982e-19
A,train,5.076771003587055e-08
A,train,1.1336674654582879e-11
A,train,4.1547331981056645e-14
A,train,1.044369225464528e-19
A,train,1.9721722033239075e-09
A,train,2.5439185259876838e-20
A,train,1.4893383697842996e-20
A,train,3.3908199327786076e-14
A,train,2.5576188664418067e-20
A,train,2.3150893492825456e-20
A,train,2.028998603720712e-15
A,train,7.308294247554414e-11
A,train,1.7399229721524988e-22
A,train,6.849962375099494e-09
A,train,2.2600230020763945e-10
A,train,7.08839695100702e-20
A,train,6.973570332302614e-11
A,train,8.373477014848515e-14
A,train,3.034985949051992e-22
A,train,3.7696939204696034e-19
A,train,2.9267273414078254e-19
A,train,1.780428844415057e-16
A,train,1.1661914923327688e-12
A,train,1.9026486948105098e-20
A,train,1.5345169579461526e-10
A,train,2.4743932684883916e-21
A,train,3.8424256014417896e-22
A,train,9.513578708382832e-22
A,train,2.516010660579321e-18
A,train,3.9605076856793944e-17
A,train,9.315379023711046e-11
A,train,1.6667655700075557e-08
A,train,2.0013046847003768e-20
A,train,1.283926718096556e-16
A,train,4.358751970467978e-10
A,train,5.919656193860813e-15
A,train,9.269040613171797e-13
A,train,7.618896718523309e-16
A,train,9.500658933803739e-24
A,train,1.793149651481844e-21
A,train,3.060905601039759e-20
A,train,8.027877711861456e-22
A,train,1.9252746695032493e-20
A,train,1.3100036199945148e-17
A,train,3.1845903508184218e-18
A,train,6.51476076713342e-20
A,train,1.4039805037757016e-19
A,train,5.3399442672651815e-18
A,train,5.819681226571247e-23
A,train,5.3095372608107094e-14
A,train,1.736947830011104e-08
A,train,1.049050108729153e-24
A,train,3.0193121370867526e-17
A,train,3.3879173202749566e-14
A,train,4.497529839037296e-23
A,train,1.4709226746160907e-17
A,train,4.3253915295372546e-18
A,train,6.246515110719386e-11
A,train,2.602713077137363e-15
A,train,7.699935326029624e-19
A,train,1.4829533624340543e-22
A,train,6.503810963774749e-20
A,train,9.586090948809911e-11
A,train,2.163269699007389e-13
A,train,1.8259354743201856e-23
A,train,3.442742188434467e-20
A,train,1.82373626257963e-15
A,train,1.6275749845084952e-11
A,train,2.9625432610428304e-15
A,train,1.0183602008537185e-12
A,train,3.0091573370148066e-18
A,train,9.199272474422898e-14
A,train,5.168779906087949e-20
A,train,1.2120040212369126e-24
A,train,1.344906292859464e-14
A,train,1.0198461766603835e-18
A,train,2.3067310688556738e-21
A,train,4.3536402846386625e-22
A,train,2.8743327162850107e-11
A,train,8.203737432923288e-18
A,train,1.7116478373546684e-11
A,train,3.922385451562754e-21
A,train,2.9056557160345164e-09
A,train,3.932573344029081e-21
A,train,2.8391108908287777e-12
A,train,4.0435444901593107e-22
A,train,5.0597550293789276e-24
A,train,8.67834337725526e-09
A,train,2.1064138416795089e-16
A,train,4.224955992633728e-24
A,train,7.147320774201323e-19
A,train,3.718852812558325e-23
A,train,1.7034403257732192e-15
A,train,6.0892788207589366e-12
A,train,1.2510938465770671e-11
A,train,1.9402913303823155e-11
A,train,2.1764542598972218e-18
A,train,8.225087258368192e-23
A,train,7.684326785994955e-11
A,train,1.4941437724708942e-24
A,train,6.21433854295632e-21
